,returns_mean,returns_std,returns_skewness,returns_kurtosis,sharpe_ratio,max_drawdown,var_95,var_99,price_volatility,price_momentum_1m,price_momentum_3m,price_momentum_6m,price_to_sma20,price_to_sma50,market_correlation,beta
AAPL,0.001093402024509959,0.01936677650157748,0.1531951766417341,6.413531934395808,0.8311831068633858,-0.38515903588013894,-0.02979018987837633,-0.049917995096584324,0.01936677650157748,-0.01515873625770614,-0.049774222999811046,0.16601537909555386,0.9759205314106483,0.9570805602280303,0.7718432586415053,1.2249923516970058
ABBV,0.0007348908486974515,0.016860679665264704,-0.9299521096216753,13.102883469816272,0.61718443078689,-0.4508977291962222,-0.023307443759916422,-0.046636415410267265,0.016860679665264704,0.05170398116086705,0.06699546669215395,0.1819618268526466,1.0462874949088894,1.0394229686727936,0.4332229340675498,0.5985954864498754
AMZN,0.0008263970228602291,0.021668603356263423,0.09399650255200297,4.208974551935829,0.5472786717482967,-0.5614526325328258,-0.03294599660362756,-0.05611970280196499,0.021668603356263423,-0.15998310410653271,-0.1997182038217986,-0.10908443985139071,0.8742248698392043,0.8625888922220333,0.6703483010513017,1.1903600803956096
BA,0.0003257133358010582,0.028285133031324888,0.25365998545083795,13.07734951819308,0.13825840346350401,-0.7792005465221095,-0.039550002453097165,-0.0704133749328216,0.028285133031324888,0.001442669727690804,0.24716395338381547,0.06875469474736673,1.0038383832022046,1.0684351072491,0.5990293128077732,1.3885234586471709
BAC,0.0005716076103994041,0.020169923640876154,0.2800776972418728,11.04941502694555,0.3874138578908109,-0.4894680161670693,-0.029592166441199653,-0.05203560920646113,0.020169923640876154,0.0013338356599619239,-0.01117394707685948,0.1824777387347729,0.982573562451784,0.9662838089771334,0.7069159185063467,1.1684736859698073
C,0.0005752946884036592,0.022125761271286876,-0.03406075257238912,11.931251945822904,0.35581322528657783,-0.5650756153738391,-0.030728688473049454,-0.055710460777040456,0.022125761271286876,-0.008648325446989125,0.09801799506238673,0.2287875024724768,0.9565828593810738,0.961885858645551,0.7115121950025163,1.2901122275183898
CAT,0.0010723666629690381,0.020145648777330744,-0.08622169611309924,4.228759659377635,0.782472266070398,-0.43358871171393226,-0.030661898756369255,-0.05444655930079263,0.020145648777330744,0.21489060471310206,0.35939645743306103,0.8657484101342208,1.1287680820179207,1.2228965879780973,0.6471079388523892,1.0683287283249647
COP,0.0007814825526620203,0.024887050784124332,-0.012575453300014338,14.25728824131266,0.44785416519061466,-0.706610432261544,-0.03469529134960694,-0.06567582916378632,0.024887050784124332,0.11052426123218151,0.2746674926277475,0.22453239587534157,1.076935714652365,1.1343184528929469,0.5287303086493385,1.078337135343978
CVS,0.00034423827732190927,0.019059803578581832,-0.5187187283954463,10.56580734799566,0.22060729257912842,-0.5678882723652038,-0.02717337106369861,-0.05427803100914485,0.019059803578581832,-0.0025751741306605513,0.02045021097904498,0.25468023040233567,1.0127497538933952,1.0058280945083458,0.4225355442500217,0.6599766798133962
CVX,0.000543693227052857,0.01969584423100701,-0.3120194989985411,23.22576652035675,0.3742404106471713,-0.5577394318253348,-0.026697763756778296,-0.0468838971092293,0.01969584423100701,0.09866060426955947,0.19365304022765262,0.22656277295450988,1.0510089173612749,1.1327808887313826,0.5808014366801819,0.9374523540927772
GE,0.000962530652522917,0.024371194443210085,0.04805778615017717,4.854835514055457,0.5752618679025285,-0.6897581422822389,-0.03501413506373939,-0.06757858143391622,0.024371194443210085,-0.010881840088964978,0.012280246746955381,0.16225487919430548,1.0232378744920128,1.025083091264003,0.5666768319242522,1.1317726456946524
GOOGL,0.0010459344068220616,0.019441509445346963,-0.006885860116779523,3.877223030598322,0.7892294801110258,-0.4432005493025634,-0.029581852892499788,-0.051010170264668996,0.019441509445346963,-0.08968555099340703,0.05453282459188813,0.5580784674647712,0.9323503230068835,0.9517812312631574,0.7277211993680041,1.1594230453847607
GS,0.0008972015117310485,0.01955263601316393,0.2742725941618832,9.813827496458195,0.6639898001615325,-0.4874878851763433,-0.02715593057427203,-0.04604917124877086,0.01955263601316393,-0.02951737352564776,0.1410276286801777,0.27059311996468693,0.9695937630030292,0.989326775392815,0.7427378377952696,1.1901118672685582
HD,0.0005927093078810217,0.01654950938672818,-0.8171634489739278,16.082438143428888,0.4924065604190117,-0.37993718331336945,-0.024003811186696318,-0.04364144728334597,0.01654950938672818,0.04016484930348163,0.062492832858232594,0.024968534468105652,1.0223689539270928,1.0684583566600998,0.7024076966479099,0.9526235342600339
JNJ,0.00045942102556539,0.0123092920341112,-0.2568847581276543,8.926744134245224,0.4901338834845364,-0.27366249012626953,-0.01704157731414153,-0.0364594696848736,0.0123092920341112,0.11393270898553798,0.3003328107738268,0.43878048936651237,1.0576390284108432,1.1232269050534218,0.4524308400599277,0.4563858779674004
JPM,0.0007816479884388932,0.018287606979053586,0.3233798468352321,13.35122620185352,0.6096147832404223,-0.43626515349232114,-0.026530280969505077,-0.04690077168436519,0.018287606979053586,-0.017280044852028387,-0.040945716272155486,0.06430711692108404,0.9819480749719839,0.962028629301469,0.7117951493369642,1.0667406007882008
KO,0.00046463903921421286,0.01216381635713762,-0.6097255855198238,8.776588713091577,0.5028055609167851,-0.3698751195025035,-0.01653711891371327,-0.03316208860691059,0.01216381635713762,0.10134375162861509,0.12354850514673776,0.13361175459034524,1.0459080293382377,1.0913892894411432,0.5270125922649636,0.5253367320290179
MCD,0.0004963652779219364,0.013569712898086148,0.36240478777957,30.204934886292016,0.4878270440938822,-0.36898575047841237,-0.017493976358558327,-0.036259118381809195,0.013569712898086148,0.06312264752291918,0.1017910592687854,0.07634261298139977,1.032006396509676,1.0463614562607735,0.558523192828837,0.6210960858219388
META,0.0009665051339660468,0.02612738417144513,-0.2905892464437842,17.893146310354048,0.5390096338362829,-0.7673609095299434,-0.037108789508795884,-0.06417115292471468,0.02612738417144513,0.03939758128170645,0.013504802258603288,-0.1589672636463122,0.9607909282421628,0.9721448892006893,0.6187189750096288,1.3247571967218539
MMM,0.00023202382666564616,0.01792664839888742,0.7673728032797875,19.076313437096353,0.1351832440159934,-0.5909733911331031,-0.024817484298199903,-0.04773795856141178,0.01792664839888742,0.015300747473108167,0.03377222428836779,0.1475779161186732,1.0586614617955348,1.0515670259333307,0.594291508998629,0.87306292683991
MRK,0.0006316773295465625,0.014820767587152023,-0.21714986022546506,6.217274973872671,0.5915810438731108,-0.43443390338661947,-0.021325930383522023,-0.04072550112374721,0.014820767587152023,0.09368526552333645,0.41150080148048596,0.5385993970501459,1.0689570497155902,1.125588826160186,0.4111229857342911,0.4993319744454865
MS,0.000915156860103397,0.020667385163450794,0.48573725608906326,12.917258834151355,0.6419671909659799,-0.5132582393866556,-0.02972817006208033,-0.05173802793190232,0.020667385163450794,-0.04805016598990852,0.04267484335223659,0.22864866333286749,0.9509292308664273,0.9528605578219937,0.7614487173112706,1.289653715702521
