,weight
NVDA,1.5326973385543803e-20
TSLA,1.447599352534374e-19
JPM,1.163552743042632e-19
BAC,8.077698543537285e-20
GOOGL,0.03039628714785214
WMT,0.1
PEP,-1.6271986817413453e-19
XOM,0.08198578340170619
GS,1.5064380517373715e-19
MMM,0.04274333799900951
KO,0.0818686583577113
CVX,1.7841783035561277e-19
SLB,1.429588914871927e-19
CAT,2.7975694943208855e-20
HD,0.019576788933408598
JNJ,0.06671918901910218
META,1.1911672180506673e-20
BA,2.285141571780587e-19
MS,1.500947715599348e-19
GE,3.4303546542549786e-20
AMZN,0.0645277661788502
C,1.4528293850666785e-19
COP,9.618916678620407e-20
NFLX,0.029694852518710627
WFC,9.143780712206585e-20
UNH,0.013060967222169123
PFE,0.1
MCD,0.05999883544108681
AAPL,-3.438544272095502e-20
CVS,0.04601463759588192
ABBV,0.07199957900241191
MRK,0.1
PG,0.09141331718209972
MSFT,-3.252068696595603e-20
