,weight
NVDA,1.3730725441541468e-19
TSLA,4.5679906319316445e-20
JPM,5.515714504077695e-20
BAC,6.426045421316851e-20
GOOGL,0.012864869691997228
WMT,0.1
PEP,0.06437478330821085
XOM,0.06823769593383797
GS,8.178290143530854e-20
MMM,0.014176628420620549
KO,0.1
CVX,-6.443337935673385e-20
SLB,-1.2853500387775709e-20
CAT,8.542847980000886e-20
HD,-4.4375210919722593e-20
JNJ,0.1
META,6.942804753373444e-20
BA,4.013959398450023e-20
MS,8.36451811076354e-20
GE,1.061033493574918e-19
AMZN,0.06299453167414831
C,9.70164511372198e-20
COP,-6.599726337323967e-20
NFLX,0.026029345381702065
WFC,7.249518926987891e-20
UNH,3.364694718500255e-20
PFE,0.0701894334840781
MCD,0.1
AAPL,-4.995180787304946e-21
CVS,0.032850635615537804
ABBV,0.04828207648986735
MRK,0.1
PG,0.1
MSFT,6.315047234750101e-21
